,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
837,74DA38E69CA0,AirBox,2018-12-07,74DA38E69CA0,1,2.0,1.0,24.155,120.641,9.0,220.0,100.0,1.0,0.0,3.0,3.0,2.0,59.0,26.87,1544212521.0,19:55:21,2018-12-07T19:55:21Z,0.35.2,3
838,74DA38EBF72C,AirBox,2018-12-07,74DA38EBF72C,1,2.0,1.0,24.706,120.912,9.0,568.0,100.0,1.0,0.0,1.0,1.0,1.0,56.0,26.12,1544212093.0,19:48:13,2018-12-07T19:48:13Z,1.0.7,3
839,74DA38EBF724,AirBox,2018-12-07,74DA38EBF724,1,2.0,1.0,25.021,121.54,9.0,369.0,100.0,1.0,0.0,0.0,0.0,0.0,52.0,28.87,1544211857.0,19:44:17,2018-12-07T19:44:17Z,1.0.7,3
840,74DA38B0525A,AirBox,2018-12-07,74DA38B0525A,1,2.0,1.0,25.035,121.5,9.0,125.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,23.37,1544211022.0,19:30:22,2018-12-07T19:30:22Z,0.35.2,3
841,taichung121,AirBox,2018-12-07,74DA38C7D198,1,2.0,1.0,24.188,120.591,9.0,91.0,100.0,1.0,0.0,5.0,6.0,4.0,100.0,22.12,1544211125.0,19:32:05,2018-12-07T19:32:05Z,0.35.2,3
842,74DA38B0525C,AirBox,2018-12-07,74DA38B0525C,1,2.0,1.0,25.058,121.613,9.0,2068.0,100.0,1.0,0.0,0.0,0.0,0.0,65.0,26.62,1544212576.0,19:56:16,2018-12-07T19:56:16Z,1.0.7,3
843,taichung119,AirBox,2018-12-07,74DA38C7D194,1,2.0,1.0,24.211,120.656,9.0,1016.0,100.0,1.0,0.0,4.0,5.0,4.0,70.0,25.5,1544210673.0,19:24:33,2018-12-07T19:24:33Z,0.35.2,3
844,74DA38B05190,AirBox,2018-12-07,74DA38B05190,1,2.0,1.0,24.596,121.848,9.0,61.0,100.0,1.0,0.0,10.0,12.0,7.0,80.0,26.75,1544212774.0,19:59:34,2018-12-07T19:59:34Z,0.35.2,3
845,74DA38F20B7A,AirBox,2018-12-07,74DA38F20B7A,1,2.0,1.0,22.759,120.264,9.0,68.0,100.0,1.0,0.0,30.0,34.0,19.0,67.0,25.25,1544211669.0,19:41:09,2018-12-07T19:41:09Z,1.0.7,3
846,74DA38AF471C,AirBox,2018-12-07,74DA38AF471C,1,2.0,1.0,22.636,120.353,9.0,780.0,100.0,1.0,0.0,14.0,16.0,10.0,89.0,27.12,1544212669.0,19:57:49,2018-12-07T19:57:49Z,0.35.2,3
847,74DA38B0509C,AirBox,2018-12-07,74DA38B0509C,1,2.0,1.0,25.073,121.496,9.0,6038.0,100.0,1.0,0.0,0.0,0.0,0.0,80.0,23.62,1544212554.0,19:55:54,2018-12-07T19:55:54Z,0.35.2,3
